 , y 
9.92E-04,511
0.5,512
0.999008173,513
1.030776504,514
1.010907649,515
0.987735306,516
0.989084195,517
1.004690223,518
1.009779351,519
0.999820719,520
0.991903916,521
0.997166412,522
1.006041009,523
1.004829599,524
0.996272242,525
0.994015617,526
1.001259819,527
1.006363656,528
1.001259819,529
0.994015617,530
0.996272242,531
1.004829599,532
1.006041009,533
0.997166412,534
0.991903916,535
0.999820719,536
1.009779351,537
1.004690223,538
0.989084195,539
0.987735306,540
1.010907649,541
1.030776504,542
0.999008173,543
0.5,544
9.92E-04,545
-0.030776504,546
-0.010907649,547
0.012264694,548
0.010915805,549
-0.004690223,550
-0.009779351,551
1.79E-04,552
0.008096084,553
0.002833588,554
-0.006041009,555
-0.004829599,556
0.003727758,557
0.005984383,558
-0.001259819,559
-0.006363656,560
-0.001259819,561
0.005984383,562
0.003727758,563
-0.004829599,564
-0.006041009,565
0.002833588,566
0.008096084,567
1.79E-04,568
-0.009779351,569
-0.004690223,570
0.010915805,571
0.012264694,572
-0.010907649,573
-0.030776504,574
9.92E-04,575
0.5,576
0.999008173,577
1.030776504,578
1.010907649,579
0.987735306,580
0.989084195,581
1.004690223,582
1.009779351,583
0.999820719,584
0.991903916,585
0.997166412,586
1.006041009,587
1.004829599,588
0.996272242,589
0.994015617,590
1.001259819,591
1.006363656,592
1.001259819,593
0.994015617,594
0.996272242,595
1.004829599,596
1.006041009,597
0.997166412,598
0.991903916,599
0.999820719,600
1.009779351,601
1.004690223,602
0.989084195,603
0.987735306,604
1.010907649,605
1.030776504,606
0.999008173,607
0.5,608
9.92E-04,609
-0.030776504,610
-0.010907649,611
0.012264694,612
0.010915805,613
-0.004690223,614
-0.009779351,615
1.79E-04,616
0.008096084,617
0.002833588,618
-0.006041009,619
-0.004829599,620
0.003727758,621
0.005984383,622
-0.001259819,623
-0.006363656,624
-0.001259819,625
0.005984383,626
0.003727758,627
-0.004829599,628
-0.006041009,629
0.002833588,630
0.008096084,631
1.79E-04,632
-0.009779351,633
-0.004690223,634
0.010915805,635
0.012264694,636
-0.010907649,637
-0.030776504,638
9.92E-04,639
0.5,640
0.999008173,641
1.030776504,642
1.010907649,643
0.987735306,644
0.989084195,645
1.004690223,646
1.009779351,647
0.999820719,648
0.991903916,649
0.997166412,650
1.006041009,651
1.004829599,652
0.996272242,653
0.994015617,654
1.001259819,655
1.006363656,656
1.001259819,657
0.994015617,658
0.996272242,659
1.004829599,660
1.006041009,661
0.997166412,662
0.991903916,663
0.999820719,664
1.009779351,665
1.004690223,666
0.989084195,667
0.987735306,668
1.010907649,669
1.030776504,670
0.999008173,671
0.5,672
9.92E-04,673
-0.030776504,674
-0.010907649,675
0.012264694,676
0.010915805,677
-0.004690223,678
-0.009779351,679
1.79E-04,680
0.008096084,681
0.002833588,682
-0.006041009,683
-0.004829599,684
0.003727758,685
0.005984383,686
-0.001259819,687
-0.006363656,688
-0.001259819,689
0.005984383,690
0.003727758,691
-0.004829599,692
-0.006041009,693
0.002833588,694
0.008096084,695
1.79E-04,696
-0.009779351,697
-0.004690223,698
0.010915805,699
0.012264694,700
-0.010907649,701
-0.030776504,702
9.92E-04,703
0.5,704
0.999008173,705
1.030776504,706
1.010907649,707
0.987735306,708
0.989084195,709
1.004690223,710
1.009779351,711
0.999820719,712
0.991903916,713
0.997166412,714
1.006041009,715
1.004829599,716
0.996272242,717
0.994015617,718
1.001259819,719
1.006363656,720
1.001259819,721
0.994015617,722
0.996272242,723
1.004829599,724
1.006041009,725
0.997166412,726
0.991903916,727
0.999820719,728
1.009779351,729
1.004690223,730
0.989084195,731
0.987735306,732
1.010907649,733
1.030776504,734
0.999008173,735
0.5,736
9.92E-04,737
-0.030776504,738
-0.010907649,739
0.012264694,740
0.010915805,741
